"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"11",-0.56223,0.05358,0.12612,-0.84016,-0.4371,-0.38536,-0.87284,0.07453,-0.36118,-1.21583,-0.40243,-0.19383,-0.82254,-0.97149,-0.91163,-1.1234,-0.2239,-0.13425,-0.77756,-0.73043,-1.06221,-0.13176,-0.02375,-0.62739,-0.1569,-0.77535,-0.8419,0.33921,0.51484,-0.13601,-0.16682,-0.20888,0.25911,-0.21631,0.19129,-0.57687,0.44808,1.19275
"12",-1.45769,-1.01765,-1.46227,-1.40715,-1.42668,-1.21719,-1.37386,-1.36832,-1.47649,-1.21583,-1.28137,-1.03209,-1.36149,-1.39979,-1.39503,-1.40095,-1.13924,-1.20466,-1.24482,-1.29428,-1.06221,-1.12665,-1.20963,-1.48332,-0.52157,-1.27619,-1.23051,-0.11203,0.14278,-1.29865,-1.26183,-1.44434,-0.10056,-1.34158,-0.31302,-1.39906,0.35366,0.87118
"13",-0.45048,-0.46687,-0.91195,-0.51066,-0.44992,-0.47687,-1.05299,-1.24094,-0.47905,-0.14556,-0.61394,-0.38332,-0.91887,-0.08318,-0.47759,-0.99766,-0.68217,0.29742,-0.83188,-0.81798,-0.50245,-0.65672,-0.52352,-1.48332,0.42409,-0.85376,-0.57219,0.36734,0.86278,-0.08514,-0.16419,-0.39841,0.83815,-0.15175,-0.0673,-0.5087,1.09418,1.76782
"14",2.42764,1.34873,1.61846,1.80194,0.81975,2.18509,2.69012,2.05478,2.02261,-1.21583,1.189,2.60787,-1.36149,0.29721,1.53514,-1.19696,-1.56783,1.96187,-0.88947,-0.66659,-1.06221,2.97697,2.96806,-0.64258,2.92855,-0.19626,2.39623,1.15092,-0.16682,-0.69018,2.01143,1.28429,0.38541,0.23659,1.54027,0.23886,1.05465,2.00691
"15",2.40116,1.83222,1.62478,1.59089,0.757,2.32267,1.64407,2.10957,1.64361,0.32217,1.9474,3.03783,0.57267,1.25632,1.76238,0.87822,0.29212,2.75831,0.94379,0.19046,1.26587,3.06374,3.29195,0.74052,2.98852,1.64597,2.17242,1.54761,1.03327,1.16119,2.25875,1.62017,0.91712,1.50523,2.21754,1.23143,1.87913,2.49036
"16",0.80633,0.26994,0.49549,0.15222,-0.03737,-0.27141,0.48896,0.78938,0.22388,0.66716,0.57026,0.21228,-0.23424,0.60038,-0.25804,0.76158,0.65171,0.71568,0.75338,0.11578,0.77512,0.62477,0.05818,0.54745,1.04529,0.64418,0.32774,0.8086,-0.13951,-0.14412,0.04123,0.56077,0.96868,0.87498,1.05,0.51991,0.63487,0.08813
"17",1.67407,1.67088,1.556,1.26802,0.41242,1.38176,2.07671,0.79789,2.24503,0.5561,1.25732,1.62612,0.59033,1.99518,1.25964,1.20317,1.23325,2.21732,1.14901,0.7724,0.59324,1.21062,1.59767,-1.07213,1.30247,0.63723,2.32251,0.78025,-0.03462,0.9222,1.2373,1.01633,0.95709,1.14934,1.48493,0.86638,0.8457,0.77899
"18",-1.2016,-0.4185,-0.00605,-1.40715,-1.42668,-0.19119,-0.87284,-1.36832,0.12239,-1.21583,0.03079,-0.46649,-1.36149,-0.16194,-0.92706,-0.58264,-1.56783,0.09316,-1.24482,-0.87213,-0.67784,0.15394,-0.52352,-1.44652,0.06019,-1.27619,-1.23051,-0.19687,-1.08902,-0.16685,-0.88131,-0.72301,0.42118,-0.42925,-0.03272,-0.09746,0.12648,0.09194
"19",0.10806,0.08245,0.48019,-0.29554,-1.25777,0.40172,0.0614,-0.33715,0.22733,-0.57804,0.07233,0.81717,-1.08971,-0.13572,-0.09442,-0.72484,-1.00308,0.1815,-0.40358,-0.64389,-1.0262,0.25894,-0.19135,-1.48332,0.76284,-0.66419,-0.18517,-0.04229,-1.08902,-0.48494,-0.25817,-0.44108,-0.20584,0.29198,-0.01033,-0.0837,-0.11911,0.48378
"20",-0.33978,-0.12775,0.32201,0.1233,-1.42668,0.59579,0.02661,0.79449,0.02478,-0.65476,-0.45539,0.00557,-0.93509,0.23327,-0.63403,-0.93761,-0.38085,0.21513,-0.82569,-1.60767,-1.06221,0.30844,0.04234,0.05261,-0.39933,-0.45243,0.52872,-0.19687,-0.66864,0.04777,0.32788,-0.11712,0.51609,-0.24347,0.57144,0.19855,0.21327,0.59067
"21",-1.07755,-0.538,-1.46227,0.07237,-1.27334,-0.29517,0.04723,0.60545,-1.47649,-0.60606,-0.95753,0.20958,-1.36149,-0.68852,-1.39503,-0.532,-1.51061,-1.20466,0.10924,-0.09892,-1.06221,-0.90711,-0.12902,-0.75645,0.07803,-1.07012,0.25841,-0.84912,-0.01087,-0.19238,0.15285,-0.23164,-0.65171,-0.26579,0.27934,-1.39906,-0.56208,-0.17069
"22",-0.50467,-0.58288,-0.34098,-1.25186,-0.79852,-1.21719,-0.88937,-0.37927,-0.89537,-1.10337,-0.83347,-0.43446,-1.26925,-0.93728,-0.90655,-1.02916,-1.05679,-0.5519,-0.46928,0.90456,-0.46818,-1.12665,-0.5526,-0.48437,1.29418,-1.18817,-0.68678,-0.74084,-1.06147,-0.57947,-0.55227,-0.19329,0.73424,-0.68467,-0.0384,-1.39906,-0.32535,-1.32403
"23",-1.45769,-0.92959,-0.33853,-0.46145,-0.37552,-0.43597,-1.12168,-1.36832,-0.5058,-0.55981,-0.26581,-0.58772,0.64768,-0.34005,0.02082,-1.18934,-0.47064,-0.72255,-0.24321,0.09699,0.47562,-1.12665,-0.92602,-0.23078,-0.57358,-0.30899,-0.59115,-0.9085,-0.53607,-1.29865,-1.09869,-1.44434,-0.66838,-1.34158,-1.13705,-1.39906,-1.1008,-1.22945
"24",0.46387,0.39692,1.37264,1.12673,-0.34332,0.65322,-0.05844,0.79534,0.82443,-0.38755,0.48817,0.75438,0.64128,0.35147,0.1052,0.40005,0.48119,0.84309,0.7522,0.4521,-0.3855,0.78485,0.9217,0.85355,0.20378,0.64303,1.05182,0.45832,0.15267,0.46098,0.79848,0.86348,0.63761,0.57612,0.59397,0.06722,0.50969,-0.39088
"25",-0.23113,-0.58643,-0.33121,-0.48925,0.15938,-1.12872,-0.31126,-0.57804,0.38892,-0.45344,1.60838,-1.03209,0.61617,0.42219,0.85954,-0.19413,-0.22218,0.68507,0.39073,0.13986,0.91627,1.20655,-0.32172,0.16434,-1.25268,-0.33195,-1.23051,-0.09304,0.44385,-1.29865,-1.16845,-1.26649,-0.33493,-1.34158,-1.22961,0.04997,-0.49252,0.20772
"26",-1.45769,-1.3942,-1.46227,-1.40715,-1.42668,-1.21719,-1.10054,-1.36832,-1.47649,-1.21583,-1.28137,-1.03209,-1.36149,-1.39979,-1.39503,-1.40095,-1.56783,-1.20466,-1.24482,-1.60767,-1.06221,-0.84863,-1.20963,-1.48332,-1.19865,-1.27619,-1.23051,-1.43337,-1.08902,-1.29865,-1.26183,-1.44434,-1.47218,-1.34158,-1.09389,-1.39906,0.64084,1.33735
"27",-0.28904,-0.10064,0.11741,-0.52887,0.18413,-0.93176,-0.40567,-0.38235,-0.19696,0.05976,0.15195,-0.23571,0.43692,-0.53522,-0.4683,0.06666,-0.77623,-0.62814,-0.03586,0.11676,0.7911,-0.11197,0.04234,-0.39201,-0.76611,-0.7916,-0.16668,-0.49941,-0.36273,-0.22096,-0.17741,-0.4707,0.04755,-0.41918,0.54993,-0.81487,-0.56208,0.00422
"28",0.79436,0.59074,1.13748,0.82368,0.06622,1.21522,1.06158,1.24551,1.02702,0.68831,0.81149,0.78778,0.61334,0.81491,-0.26781,0.60369,0.1864,0.52829,0.91023,0.19757,0.41889,0.86049,0.81385,0.5056,0.72845,0.44673,1.36068,0.73347,0.2484,-0.16059,0.80116,0.83456,1.08634,0.75822,1.1728,0.47586,0.67584,1.02536
"29",-1.03575,-0.34244,-0.49345,-0.59361,-0.877,-1.21719,-1.37386,-1.04233,-0.32088,-1.21583,-0.13173,-1.03209,-0.62916,-0.98908,-1.06734,-1.10935,-0.52061,-0.64415,-1.24482,-0.64638,-0.56436,-1.12665,-1.20963,-1.16763,-0.90814,-1.15518,-1.23051,-0.64027,-0.2203,0.25898,-1.26183,-0.37646,-1.02671,-1.07375,-1.22961,-0.41464,-1.00321,-0.47564
"30",0.74065,0.81702,0.77986,1.01085,-0.42132,0.75953,0.81401,0.93584,0.75325,0.87296,1.21005,0.51968,0.42763,0.7176,0.22957,0.74889,0.61348,0.20849,0.65499,0.84854,0.88928,0.54973,0.22168,0.94248,0.41798,0.63257,1.54152,1.10451,-1.08902,0.6191,0.81004,0.65538,0.75759,1.05766,0.65859,0.81246,0.38171,0.80963
"31",0.11981,-0.71643,-0.12058,0.12513,0.08995,0.30427,-0.21196,0.7581,-0.31434,-0.20495,0.2621,0.14814,0.16121,0.00363,0.09059,-0.52821,-0.1496,0.0418,-0.32004,0.26295,-0.12692,0.8733,-0.65087,0.58131,0.09985,-0.11926,0.10916,0.35848,-0.54643,-1.13451,-0.07202,-1.11201,0.36645,0.54054,0.38799,0.17389,0.17902,0.78873
"32",0.41189,1.09121,0.66959,0.80965,0.52493,0.93866,0.83792,1.07206,0.56264,1.04262,0.42991,0.92918,0.3931,0.64786,0.58389,0.36535,1.22021,0.92762,0.58421,0.44756,-0.76654,1.48126,0.74287,0.48395,0.50692,0.40281,1.1024,0.74102,0.96692,1.34965,1.23839,1.0305,0.74534,1.30397,1.02936,1.44988,1.21651,0.83592
"33",0.17642,0.42573,0.6,0.35192,0.7056,0.40819,0.5251,0.28573,0.71916,0.25211,0.94398,-0.37835,0.27508,0.43368,0.19828,0.36976,-0.03866,-0.02086,-0.26699,0.47631,0.30204,0.40222,0.16237,0.71654,-0.05212,0.38311,0.79743,0.06207,0.63364,0.47457,0.28127,-0.47372,0.30259,0.33984,0.5684,0.30661,0.60169,0.29683
"34",-0.18126,-0.70011,0.1834,0.49696,-0.53083,-0.32664,0.75952,-0.55534,-0.71766,-0.32607,-0.4963,0.17655,-1.36149,-0.39751,-0.78373,-0.19148,-0.34226,-0.36585,0.10459,-0.72767,-1.06221,0.19262,-0.34924,0.17721,-0.50073,-0.24032,0.82235,-0.31674,-1.08902,-0.03722,-1.26183,-0.4647,0.18013,-0.26297,-0.43784,-0.191,-1.34579,-0.0519
"35",-0.53809,0.18488,-0.12633,-0.0742,-0.14934,-0.87227,0.1273,0.15164,-0.52227,-0.18974,-0.65833,0.19321,-0.40233,0.25969,-0.20386,-0.36226,-0.49169,-0.18296,-0.45661,-0.38055,-0.14365,-0.02173,-0.02091,0.57505,-0.39564,-0.63607,0.81376,-0.05622,-0.00212,0.0872,0.28762,0.02855,0.06062,0.29198,0.75756,-0.33707,0.05888,0.30887
"36",-1.10861,-0.68012,-1.46227,-1.40715,-0.94055,-1.21719,-1.37386,-1.35925,-1.47649,-1.21583,-0.51552,-1.03209,-1.19301,-1.39979,-1.31903,-1.40095,-0.62205,-0.99756,-1.24482,-1.59157,-1.06221,-0.82069,-1.20963,-0.52402,-0.39197,-1.27619,-1.23051,0.24777,-1.08902,-1.06949,-1.26183,-0.61766,-0.25642,-0.87778,-0.61146,-0.61156,-0.51836,-1.32403
"37",1.4085,2.10403,1.83694,1.80958,1.88521,1.88661,1.62394,1.70223,1.79759,1.97056,1.96839,2.39276,1.55518,1.75834,1.97611,1.91693,1.7496,1.92641,1.74883,1.91885,1.29941,1.74857,1.92418,1.83619,2.07891,1.96231,1.96405,1.6629,2.19516,2.07289,1.75701,1.10748,1.22763,1.97904,1.80195,1.71281,1.65142,1.83021
"38",-0.27103,-0.19598,0.17797,-0.39535,0.20187,0.13683,-0.32634,-0.42666,0.13143,-0.12847,0.01146,0.19321,0.297,-0.02719,0.20549,0.00195,-0.36235,0.06525,-0.50391,0.2654,-0.8356,-0.44012,-0.71269,0.45469,0.25259,-0.0805,-1.23051,0.30884,0.57925,-0.00217,0.1267,0.37439,-0.20387,-0.60765,-1.22961,0.21181,0.27923,-0.5119
"39",-0.97367,-1.3942,-1.46227,-1.40715,-0.80324,-1.21719,-1.02044,-1.36832,-1.2403,-1.21583,-1.26344,-1.03209,-0.41133,-1.39979,-1.352,-0.50951,-1.56783,-1.20466,-0.78345,-0.02011,-0.41224,-1.12665,-1.20963,-0.64258,-1.25268,-0.90174,-1.23051,-1.43337,-1.08902,-1.29865,-1.26183,-1.20282,-1.47218,-1.34158,-1.22961,-1.39906,-1.34579,-1.32403
"40",-0.05607,-1.3942,-0.29785,-0.3013,-0.69202,-0.26141,-0.17503,0.45585,-0.55331,-1.21583,-1.06496,-1.03209,-0.01651,0.06614,-1.39503,-1.40095,-1.56783,-0.02086,-1.24482,-1.20526,-1.06221,-0.41734,-0.41524,-0.11045,-1.25268,-1.27619,-1.23051,0.53057,-0.36702,-0.42267,-0.01028,-0.67255,-0.52597,-0.70727,-0.22633,0.16382,-1.34579,-0.82726
"41",0.66809,0.76988,0.51981,0.76441,0.59334,0.8235,0.69862,1.21711,0.46167,0.87201,0.81059,0.99646,0.22659,0.5334,0.34103,1.01678,0.98472,0.81751,0.75693,0.993,0.81754,1.07574,0.89225,-0.11262,1.13564,0.70234,0.97228,0.98688,1.0826,0.87791,0.81444,0.90777,0.48414,1.12804,0.43458,1.09666,1.06975,1.07807
"42",-0.91551,-0.23098,-0.06324,0.154,-0.97974,0.17074,0.17828,0.62713,-0.14206,0.10684,-0.41974,0.13946,-1.26925,-1.39979,0.04009,-0.69284,0.24884,0.10805,-1.24482,-1.53014,0.22405,0.28724,0.57699,0.10238,-0.91456,-0.95236,0.53454,0.25349,-0.30875,-0.66299,0.31415,-0.12937,0.21933,0.39635,0.02764,0.04997,-0.83608,-0.13339
"43",-0.24342,-0.00529,0.42544,0.11407,-0.72618,0.10163,0.53483,0.56702,-0.19885,-0.98868,-0.90227,0.22034,-0.74443,-0.45878,-1.09829,-1.11635,0.3844,-0.10924,-0.25673,-0.44612,-0.46818,0.05522,0.25857,-0.27631,-0.07008,-0.1219,0.91591,0.35848,-0.18785,0.28725,0.27003,0.44201,0.56229,0.17241,0.17543,0.01889,-0.18325,-0.1237
"44",-0.00312,0.00388,-1.46227,0.26924,-1.02066,0.27869,0.53724,0.71372,-1.47649,-1.21583,-1.28137,0.54107,-1.34399,-0.34593,-0.41737,-0.24599,-1.56783,-1.20466,-1.24482,-1.60767,0.10598,-1.12665,0.51035,-0.14136,0.36606,-0.4263,0.6657,-1.43337,-1.08902,-0.03009,0.08598,0.08368,-0.96271,-1.34158,-1.22961,-0.9015,0.40888,-1.32403
"45",0.61504,-0.88365,1.17637,0.13061,0.02268,0.37036,0.84229,1.4177,0.22963,0.47628,0.46215,-0.4557,0.98362,0.48308,-0.17244,0.69636,0.27124,0.84079,0.87127,0.56709,0.27035,0.51663,-1.20963,1.04105,-1.25268,0.61843,0.05526,0.38972,0.41831,0.18168,1.12538,0.30756,0.70549,0.15117,0.86325,0.63169,0.30727,0.15611
"46",0.8267,0.5172,0.86297,0.70311,0.81893,0.90436,1.01212,0.21154,0.30622,0.6564,0.10031,1.29382,0.69896,0.68242,0.69284,0.49328,-0.16074,0.65206,0.17862,0.33475,-0.19215,-0.90711,0.20606,0.92464,0.32976,0.6349,0.54607,0.72416,0.19121,1.56692,1.26162,0.55982,0.66012,1.00496,0.88989,1.24774,0.76937,-0.92101
"47",-0.25087,0.9833,0.8155,0.19571,0.39053,-0.4562,0.18358,0.14647,0.93023,0.49511,-0.03304,0.09482,0.16121,0.20283,0.07907,0.12912,0.23792,0.24335,-0.11761,0.4643,-0.45387,0.23885,0.31041,0.52235,-0.77162,-0.08558,0.27956,-0.79337,0.08114,0.67761,0.1436,0.03199,0.25682,0.02049,0.10188,-0.02603,-0.04797,-1.32403
"48",-0.57631,-0.25511,-0.24345,-0.20273,-0.1682,-0.8044,-0.40236,-0.72301,-0.514,-0.31909,-0.25993,-0.35388,0.13558,-0.44226,-0.04726,-0.15255,-0.76634,-0.25201,-0.31641,0.38402,0.82109,-0.53205,-0.78495,0.19776,-0.84033,-1.05546,-0.22004,-0.49941,-0.03462,-0.07383,-0.35667,-1.0466,-0.76072,-0.66699,-1.15487,-0.59878,-0.40201,-0.43058
"49",-1.25927,-1.3942,-1.46227,-1.40715,-1.42668,-1.21719,-1.37386,-1.36832,-1.47649,-1.21583,-1.28137,-1.03209,-0.95719,-1.39979,-1.39503,-1.40095,-1.51061,-1.20466,-1.24482,0.75654,0.98491,-1.12665,-1.20963,-0.76513,-0.41423,-1.27619,-1.23051,-1.43337,0.39964,-1.29865,-1.26183,-1.44434,0.73948,-1.34158,-1.22961,-0.83149,1.10861,-1.32403
"50",-0.33158,-0.05655,-0.50522,-0.09947,-0.05406,-0.03588,-0.29641,0.21475,-0.55331,-0.36173,-0.38882,-0.41884,-0.42654,-0.2641,-0.25078,-0.43817,0.3734,-0.64415,-0.60125,-0.23434,-1.06221,-0.3648,-0.1846,-0.00575,0.14611,-0.98546,0.01586,-0.05421,-0.32915,0.12923,0.0978,0.32999,0.06206,0.19829,0.02231,-0.04048,-0.36831,-0.09523
"51",-0.48197,-1.3942,-1.46227,-1.07815,-0.72184,-1.21719,-1.37386,-0.47666,-1.47649,-1.21583,-0.11911,-1.03209,-0.05195,-0.21416,-0.39156,-1.26841,0.16379,-0.88073,-1.24482,0.27107,-1.06221,-1.12665,-1.20963,0.15293,-1.25268,-1.27619,-1.23051,-1.43337,-0.99176,-1.29865,-1.26183,-0.49203,-1.22731,-1.19791,-1.22961,-1.39906,-1.34579,-1.30608
"52",-1.45769,0.11202,-1.46227,-1.40715,-0.99706,-1.20796,-1.21141,0.24784,-0.71418,0.17018,-1.28137,0.49981,-0.01651,-0.97732,-1.17732,-0.63192,-0.11857,-0.1863,-1.24482,0.72387,0.12128,0.57224,-0.50461,-1.08432,0.3007,-0.90792,0.57708,-0.03442,-0.84451,-0.14006,-0.66887,-0.71111,-0.77968,-1.34158,-0.50453,-0.16991,-0.89501,-0.50087
"53",-0.39057,-0.60803,-1.46227,-1.33494,-1.42668,-1.11199,-0.26171,-0.9064,-1.3954,-0.78913,-1.28137,-1.03209,-1.07043,-1.29512,-1.39503,-0.22656,0.42622,-0.66042,-0.30203,-1.12953,0.16812,-1.12665,-0.5526,-1.48332,-0.21561,-1.18817,0.13167,-1.43337,-0.57283,-0.73899,0.138,-0.11106,0.01475,-1.34158,-0.30549,-0.21064,-0.94741,-0.21491
"54",0.84891,0.692,1.08863,0.82019,0.52493,0.05566,0.91025,1.24706,0.60639,0.80798,0.64228,-0.47194,0.73925,-0.90429,-0.38032,1.04381,0.98265,1.13823,1.00666,0.72849,0.62738,1.24331,-0.20844,1.09365,0.16238,1.01555,0.7797,0.13966,0.48088,1.14639,-0.23516,0.34705,1.05975,0.68328,-0.37948,0.97194,0.60346,0.39444
"55",-0.0185,0.20837,0.41925,0.40643,0.95243,-0.06493,0.37849,0.1854,0.31971,0.21206,0.05801,-0.18567,1.0656,0.40403,0.58296,0.23281,0.64308,0.0523,0.44289,0.99764,-1.06221,-0.44012,0.41914,0.852,-0.12613,-0.03124,0.3527,-0.1163,0.06777,-0.25989,0.13048,-0.01742,-0.2606,-0.01963,-0.16279,-0.22265,-0.49252,-0.48278
"56",0.56392,0.38868,0.6042,0.76811,0.28434,0.6557,0.69862,-0.51874,0.42425,0.32906,0.35138,0.44192,0.24688,0.24268,0.21974,0.3108,0.31341,0.83618,0.24129,0.08489,0.08255,0.56266,0.30636,0.62297,0.52754,0.39528,1.25195,1.46553,0.533,1.09941,0.79848,0.95119,1.42279,0.69323,0.37877,1.173,0.99482,0.74728
"57",0.31995,0.47854,0.48308,0.73617,0.9453,0.64452,0.41632,0.14647,0.7389,0.54123,-0.06555,0.73409,0.73431,0.73057,0.7245,0.21054,0.87169,0.47766,0.55989,0.75609,0.19651,1.05686,0.26282,0.96966,0.21336,-0.95888,-0.071,0.69653,0.68503,1.0967,0.40473,0.2019,0.30476,0.27961,0.5311,0.93772,0.76275,0.19254
"58",-1.45769,1.28964,1.00667,1.4968,2.34239,1.08098,1.53918,0.74385,2.19062,1.26548,1.64271,1.49775,1.27477,0.4209,1.11752,1.51344,0.83154,-0.15022,-1.24482,-0.00864,1.60778,0.61722,0.62485,0.72905,0.03279,0.90668,1.8647,-0.87339,0.94721,2.39252,1.93715,0.94193,1.51972,-1.34158,0.28548,2.22965,1.65535,0.29227
"59",1.20843,1.50045,1.7661,1.09403,1.53252,1.58483,0.49781,-0.43973,2.04594,1.63505,1.9776,1.23631,1.97495,0.96207,1.29081,0.17881,1.04455,1.53475,1.10824,0.50952,0.82579,0.28509,1.42611,1.41679,0.87405,0.4221,0.77071,1.6945,1.15747,0.67384,1.25466,-0.94381,-0.51183,0.05096,0.94831,0.98052,0.99707,0.54574
"60",-0.84642,-0.46068,0.24225,0.18201,-1.39034,-0.10889,0.28057,0.55716,-0.99075,-0.25863,-0.33313,-1.03209,-1.36149,-0.53885,-1.25656,-1.01013,-0.79977,-0.68255,-0.21673,-1.35159,-0.6137,0.44494,-0.51402,-0.58323,-1.20743,-0.68343,-1.23051,-0.57064,-0.63369,0.04616,7e-04,-0.07551,0.40878,-0.81391,-0.19571,-0.62128,0.32096,0.40928
"61",-1.45769,-1.3942,-1.46227,-1.11866,-0.68367,-1.21719,-1.37386,-1.36832,-1.47649,-1.21583,-1.28137,-1.03209,-1.36149,-1.39979,-1.39503,-1.40095,-1.51061,-1.20466,-1.24482,-0.22985,0.72016,-1.12665,-1.20963,-0.79619,-1.25268,-1.27619,-1.23051,-1.43337,-1.08902,-1.06949,-1.26183,-1.44434,-1.47218,-1.34158,-1.22961,-1.39906,-1.34579,-1.32403
"62",-0.52794,-0.09858,0.16977,-0.43113,-0.7799,-0.53734,0.02034,0.52918,-0.19507,-0.09521,-0.3524,-1.03209,-0.5272,-0.39751,-1.39503,-0.33722,-0.48461,-0.00135,0.41295,0.51373,0.17052,-0.11197,0.02894,-0.87619,-0.10707,-1.27619,0.1623,0.3934,1.19919,0.30518,-0.12066,-0.22247,0.71965,-0.40263,0.65859,-0.23076,1.5419,1.47121
"63",0.39595,0.1819,1.0681,0.5237,0.83358,0.34828,0.54325,-0.10941,0.87951,0.40007,0.95859,0.56389,0.2368,0.48548,0.6837,0.18239,-0.51572,0.74915,0.31519,0.89147,1.21506,0.45757,0.28794,0.51457,0.089,-0.34197,0.15365,0.38232,0.72579,0.24128,0.61873,-0.76805,-0.20192,-0.38637,0.44676,-0.49459,0.44488,0.37518
"64",0.26747,0.95507,0.69792,0.64704,1.03334,0.53315,0.4658,0.17205,0.7878,1.37255,1.18009,0.90037,1.10553,0.53567,1.00492,0.64733,-0.07116,0.90421,0.51236,1.1569,1.8213,0.19024,1.02648,1.10323,0.1358,0.53006,0.28714,1.01574,1.87314,1.21867,1.05902,0.22985,0.80428,0.38671,1.00633,0.16382,1.29823,1.22977
"65",0.26176,0.42686,0.66099,0.50799,0.87697,0.16657,0.41219,-0.26104,0.1642,0.38565,0.6036,0.13946,0.75552,0.37745,0.49956,0.33239,-0.28657,0.60327,0.23723,0.69417,0.56717,-0.12843,0.05293,0.74227,-0.43319,-0.46769,0.41729,0.24201,0.69332,0.27875,0.29551,-0.04319,0.47351,-0.03048,-0.0673,-0.02762,0.37478,0.20939
