"","V1","V2","V3"
"96","229","KIAA0102 gene","D14658_at"
"97","232","KIAA0105 gene","D14661_at"
"98","233","KIAA0106 gene","D14662_at"
"99","234","KIAA0107 gene","D14663_at"
"100","237","AMT Glycine cleavage system protein T (aminomethyltransferase)","D14686_at"
"101","238","NUCLEAR PORE COMPLEX PROTEIN NUP214","D14689_at"
"102","239","PHOSPHATIDYLSERINE SYNTHASE I","D14694_at"
"103","240","APOA2 Apolipoprotein A-II","D14695_at"
"104","241","ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle","D14710_at"
"105","242","KIAA0110 gene","D14811_at"
"106","243","KIAA0026 gene","D14812_at"
"107","247","FGF9 Fibroblast growth factor 9 (glia-activating factor)","D14838_at"
"108","248","ADM Adrenomedullin","D14874_at"
"109","249","Protein D123","D14878_at"
"110","250","Small GTP-binding protein, S10","D14889_at"
"111","252","Transcription factor AREB6","D15050_at"
"112","253","DEFENDER AGAINST CELL DEATH 1","D15057_at"
"113","255","CAST Calpastatin","D16217_at"
"114","257","3-KETOACYL-COA THIOLASE MITOCHONDRIAL","D16294_at"
"115","259","ORF, Xq terminal portion","D16469_at"
"116","260","VLDLR Very low density lipoprotein receptor","D16532_at"
"117","261","ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR","D16562_at"
"118","264","HPCA Hippocalcin","D16593_at"
"119","273","CRARF C4/C2 activating component of Ra-reactive factor","D17525_at"
"120","274","GB DEF = N-acetylglucosaminyltransferase V","D17716_at"
"121","275","KIAA0030 gene, partial cds","D21063_at"
"122","277","XP-C repair complementing protein (p58/HHR23B)","D21090_at"
"123","281","CDH11 Cadherin 11 (OB-cadherin)","D21255_at"
"124","282","60S RIBOSOMAL PROTEIN L23","D21260_at"
"125","283","SM22-ALPHA HOMOLOG","D21261_at"
"126","284","KIAA0035 gene, partial cds","D21262_at"
"127","288","KIAA0029 gene, partial cds","D21852_at"
"128","292","UBL1 Ubiquitin-like protein","D23662_at"
"129","295","KIAA0014 gene","D25216_at"
"130","296","KIAA0027 gene, partial cds","D25217_at"
"131","297","KIAA0112 gene, partial cds","D25218_at"
"132","298","Randomly sequenced mRNA","D25248_at"
"133","299","Randomly sequenced mRNA","D25274_at"
"134","300","KIAA0036 gene","D25278_at"
"135","302","PFKP Phosphofructokinase, platelet","D25328_at"
"136","303","KIAA0037 gene","D25538_at"
"137","305","PIMT isozyme I","D25547_at"
"138","309","KIAA0041 gene, partial cds","D26069_at"
"139","310","RNS1 Ribonuclease A (pancreatic)","D26129_at"
"140","312","NADPH-flavin reductase","D26308_at"
"141","321","Transmembrane protein","D26579_at"
"142","323","Proteasome subunit HsC7-I","D26599_at"
"143","325","MOBP Myelin-associated oligodendrocytic basic protein","D28114_at"
"144","326","DB1","D28118_at"
"145","328","RPS11 Ribosomal protein S11","D28137_at"
"146","329","GB DEF = Annexin II, 5'UTR (sequence from the 5'cap to the start codon)","D28364_at"
"147","330","GB DEF = ATP synthase B chain, 5'UTR (sequence from the 5'cap to the start codon)","D28383_at"
"148","332","GB DEF = Pre-mRNA splicing factor SRp20, 5'UTR (sequence from the 5'cap to the start codon)","D28423_at"
"149","333","KIAA0045 gene","D28476_at"
"150","336","SP2 Sp2 transcription factor","D28588_at"
"151","337","GB DEF = mRNA (KIAA00167), partial sequence","D28589_at"
"152","338","Hepatitis C-associated microtubular aggregate protein p44","D28915_at"
"153","341","HYPOTHETICAL MYELOID CELL LINE PROTEIN 2","D29641_at"
"154","342","HYPOTHETICAL MYELOID CELL LINE PROTEIN 3","D29642_at"
"155","343","KIAA0115 gene","D29643_at"
"156","344","HYPOTHETICAL MYELOID CELL LINE PROTEIN 5","D29677_at"
"157","351","PHOSPHATIDYLINOSITOL","D30036_at"
"158","353","EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2","D30655_at"
"159","354","CAMK4 Calcium/calmodulin-dependent protein kinase IV","D30742_at"
"160","355","VIM Vimentin","D30755_at"
"161","357","KIAA0050 gene","D30758_at"
"162","358","GC box bindig protein","D31716_at"
"163","361","KIAA0064 gene","D31764_at"
"164","363","PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE","D31766_at"
"165","364","KIAA0058 gene","D31767_at"
"166","366","CD40LG CD40 antigen ligand (hyper IgM syndrome)","D31797_at"
"167","369","KIAA0059 gene","D31883_at"
"168","370","KIAA0063 gene","D31884_at"
"169","371","KIAA0069 gene, partial cds","D31885_at"
"170","374","KIAA0071 gene, partial cds","D31888_at"
"171","375","KIAA0070 gene, partial cds","D31890_at"
"172","376","KIAA0067 gene","D31891_at"
"173","378","GB DEF = HuSAA1g gene for serum amyloid A1 gamma, exon 3 and intron 3","D32001_at"
"174","379","AARS Alanyl-tRNA synthetase","D32050_at"
"175","383","FK-506 binding protein (fkbp12.6) gene","D38037_at"
"176","384","26S PROTEASOME REGULATORY SUBUNIT P31","D38047_at"
"177","385","Proteasome subunit z","D38048_at"
"178","386","RANBP1 RAN binding protein 1","D38076_at"
"179","388","Prostacyclin synthase","D38145_at"
"180","390","Tob","D38305_at"
"181","396","KIAA0077 gene, partial cds","D38521_at"
"182","398","NT5 5' nucleotidase (CD73)","D38524_at"
"183","399","PK-120","D38535_at"
"184","400","KIAA0076 gene","D38548_at"
"185","401","KIAA0068 gene, partial cds","D38549_at"
"186","402","KIAA0075 gene, partial cds","D38550_at"
"187","403","KIAA0078 gene","D38551_at"
"188","404","KIAA0073 gene, partial cds","D38552_at"
"189","406","KIAA0079 gene","D38555_at"
"190","407","Calgizzarin","D38583_at"
"191","411","KIAA0088 gene, partial cds","D42041_at"
"192","412","KIAA0084 gene, partial cds","D42043_at"
"193","417","KIAA0091 gene","D42053_at"
"194","418","KIAA0092 gene","D42054_at"
"195","423","KIAA0094 gene, partial cds","D42084_at"
"196","424","KIAA0095 gene","D42085_at"
"197","425","KIAA0118 gene, partial cds","D42087_at"
"198","429","KIAA0096 gene, partial cds","D43636_at"
"199","431","YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability)","D43642_at"
"200","432","Chemokine","D43767_at"
"201","435","KIAA0100 gene","D43947_at"
"202","436","KIAA0097 gene","D43948_at"
"203","437","KIAA0082 gene, partial cds","D43949_at"
"204","438","T-COMPLEX PROTEIN 1, EPSILON SUBUNIT","D43950_at"
"205","439","ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR","D43951_at"
"206","440","Proteasome subunit p112","D44466_at"
"207","441","Proteasome activator hPA28 subunit beta","D45248_at"
"208","442","ApM2 mRNA for GS2374 (unknown product specific to adipose tissue)","D45370_at"
"209","443","ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor)","D45371_at"
"210","449","Apo1_Human (MER5(Aop1-Mouse)-like protein)","D49396_at"
"211","451","IL3RA Interleukin 3 receptor, alpha (low affinity)","D49410_at"
"212","453","Protein disulfide isomerase-related protein P5","D49489_at"
"213","454","Protein disulfide isomerase-related protein (PDIR)","D49490_at"
"214","457","Cytoskeleton associated protein (CG22) mRNA","D49738_at"
"215","459","Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase","D49817_at"
"216","460","Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase, partial cds","D49818_at"
"217","469","Transcription elongation factor S-II, hS-II-T1","D50495_at"
"218","470","GB DEF = TI-227H","D50525_at"
"219","475","CW-1 mRNA","D50663_at"
"220","477","TGFBR2 Transforming growth factor, beta receptor II (70-80kD)","D50683_at"
"221","478","C-myc binding protein","D50692_at"
"222","480","Ceramide glucosyltransferase","D50840_at"
"223","481","DOCK180 protein mRNA","D50857_at"
"224","482","TESK1","D50863_at"
"225","483","KIAA0121 gene","D50911_at"
"226","484","KIAA0122 gene, partial cds","D50912_at"
"227","485","KIAA0123 gene, partial cds","D50913_at"
"228","486","KIAA0124 gene, partial cds","D50914_at"
"229","487","KIAA0125 gene","D50915_at"
"230","488","KIAA0126 gene","D50916_at"
"231","489","KIAA0127 gene","D50917_at"
"232","490","KIAA0128 gene, partial cds","D50918_at"
"233","492","KIAA0130 gene","D50920_at"
"234","497","KIAA0136 gene, partial cds","D50926_at"
"235","498","KIAA0137 gene","D50927_at"
"236","499","KIAA0138 gene","D50928_at"
"237","500","KIAA0140 gene","D50930_at"
"238","503","GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA, clone Mo2","D55640_at"
"239","504","MDH1 Malate dehydrogenase 1, NAD (soluble)","D55654_at"
"240","506","DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG","D55716_at"
"241","509","DJ-1 protein","D61380_at"
"242","510","Phosphoribosypyrophosphate synthetase-associated protein 39","D61391_at"
"243","513","Serum lectin P35","D63160_at"
"244","515","Platelet activating factor acetylhydrolase IB gamma-subunit","D63391_at"
"245","517","KIAA0109 gene","D63475_at"
"246","518","KIAA0142 gene","D63476_at"
"247","522","KIAA0147 gene, partial cds","D63481_at"
"248","527","KIAA0152 gene","D63486_at"
"249","528","KIAA0153 gene, partial cds","D63487_at"
"250","529","Unc-18homologue","D63506_at"
"251","530","Rod photoreceptor protein","D63813_at"
"252","531","Unc-18 homologue","D63851_at"
"253","532","HMG1 High-mobility group (nonhistone chromosomal) protein 1","D63874_at"
"254","533","KIAA0155 gene","D63875_at"
"255","534","KIAA0154 gene, partial cds","D63876_at"
"256","535","KIAA0241 gene, partial cds","D63877_at"
"257","536","PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR","D63878_at"
"258","537","KIAA0156 gene","D63879_at"
"259","538","KIAA0159 gene","D63880_at"
"260","539","KIAA0160 gene, partial cds","D63881_at"
"261","540","MANA2 Mannosidase, alpha type II","D63998_at"
"262","541","Tob family","D64109_at"
"263","542","Tob family","D64110_at"
"264","543","Histone H1x","D64142_at"
"265","545","ATP binding protein associated with cell differentiation, partial cds","D64158_at"
"266","547","SEC14L SEC14 (S. cerevisiae)-like","D67029_at"
"267","552","CRMP1 Collapsin response mediator protein 1","D78012_at"
"268","554","GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase, partial cds","D78129_at"
"269","555","YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","D78134_at"
"270","559","Proteasome subunit p42","D78275_at"
"271","562","5'-terminal region of UMK","D78335_at"
"272","563","Ornithine decarboxylase antizyme, ORF 1 and ORF 2","D78361_at"
"273","566","CAD PROTEIN","D78586_at"
"274","567","MEST Mesoderm specific transcript (mouse) homolog","D78611_at"
"275","571","KIAA0164 gene","D79986_at"
"276","575","KIAA0168 gene","D79990_at"
"277","577","KIAA0170 gene","D79992_at"
"278","578","KIAA0171 gene","D79993_at"
"279","579","KIAA0172 gene, partial cds","D79994_at"
"280","581","KIAA0174 gene","D79996_at"
"281","584","KIAA0177 gene, partial cds","D79999_at"
"282","585","KIAA0179 gene, partial cds","D80001_at"
"283","587","KIAA0181 gene, partial cds","D80003_at"
"284","588","KIAA0182 gene, partial cds","D80004_at"
"285","589","KIAA0183 gene, partial cds","D80005_at"
"286","590","KIAA0184 gene, partial cds","D80006_at"
"287","591","KIAA0185 gene, partial cds","D80007_at"
"288","592","KIAA0186 gene","D80008_at"
"289","593","KIAA0187 gene","D80009_at"
"290","594","KIAA0188 gene, partial cds","D80010_at"
"291","596","KIAA0190 gene, partial cds","D80012_at"
"292","598","B-cell mRNA for a member of the short-chain alcohol dehydrogenase family, partial cds","D82061_at"
"293","599","AC1 mRNA","D82070_at"
"294","603","NB thymosin beta","D82345_at"
"295","605","5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase","D82348_at"
"296","606","Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product","D83004_at"
"297","608","Nuclear protein, NP220","D83032_at"
"298","610","ATM Ataxia telangiectasia mutated (includes complementation groups A, C and D)","D83243_at"
"299","612","Cadherin-15","D83542_at"
"300","613","RP105","D83597_at"
"301","614","Calcium-binding protein in amniotic fluid 1","D83657_at"
"302","617","Peroxisome assembly factor-2","D83703_at"
"303","618","Adult heart mRNA for neutral calponin","D83735_at"
"304","620","KIAA0191 gene, partial cds","D83776_at"
"305","621","KIAA0193 gene","D83777_at"
"306","624","KIAA0196 gene","D83780_at"
"307","627","KIAA0192 gene, partial cds","D83783_at"
"308","628","KIAA0198 gene, partial cds","D83784_at"
"309","629","KIAA0200 gene","D83785_at"
"310","630","FCN1 Ficolin (collagen/fibrinogen domain-containing) 1","D83920_at"
"311","631","RBP-MS/type 1","D84110_at"
"312","633","IgG Fc binding protein","D84239_at"
"313","634","CD38 CD38 antigen (p45)","D84276_at"
"314","635","TPRD","D84294_at"
"315","636","Phosphoethanolamine cytidylyltransferase","D84307_at"
"316","640","P105MCM mRNA","D84557_at"
"317","642","TR3beta","D85245_at"
"318","646","DNAJ PROTEIN HOMOLOG 1","D85429_at"
"319","648","GB DEF = LIM domain, partial cds","D85527_at"
"320","649","Enhancer of rudimentary homolog mRNA","D85758_at"
"321","650","DNA for rhoHP1","D85815_at"
"322","651","P97 homologous protein","D85939_at"
"323","654","Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds","D86479_at"
"324","656","P97 homologous protein, partial cds","D86549_at"
"325","658","KIAA0201 gene","D86956_at"
"326","662","KIAA0206 gene, partial cds","D86961_at"
"327","663","KIAA0207 gene","D86962_at"
"328","665","KIAA0209 gene, partial cds","D86964_at"
"329","668","KIAA0212 gene","D86967_at"
"330","671","KIAA0216 gene","D86970_at"
"331","672","KIAA0217 gene, partial cds","D86971_at"
"332","673","KIAA0218 gene","D86972_at"
"333","674","KIAA0219 gene, partial cds","D86973_at"
"334","676","KIAA0223 gene, partial cds","D86976_at"
"335","678","KIAA0225 gene, partial cds","D86978_at"
"336","679","KIAA0226 gene","D86979_at"
"337","683","KIAA0230 gene, partial cds","D86983_at"
"338","685","KIAA0232 gene","D86985_at"
"339","689","J1 gene extracted from Human (lambda) DNA for immunoglobin light chain","D87023_cds2_at"
"340","691","KIAA0233 gene","D87071_at"
"341","692","KIAA0236 gene","D87073_at"
"342","693","KIAA0237 gene","D87074_at"
"343","694","KIAA0238 gene, partial cds","D87075_at"
"344","695","KIAA0239 gene, partial cds","D87076_at"
"345","697","KIAA0235 gene, partial cds","D87078_at"
"346","698","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3","D87116_at"
"347","699","Cancellous bone osteoblast mRNA for GS3955","D87119_at"
"348","700","Cancellous bone osteoblast mRNA for GS3786","D87120_at"
"349","703","Rhodanese","D87292_at"
"350","706","KIAA0246 gene, partial cds","D87433_at"
"351","707","KIAA0247 gene","D87434_at"
"352","708","ARF3 ADP-ribosylation factor 3","D87435_at"
"353","709","KIAA0249 gene","D87436_at"
"354","711","KIAA0251 gene, partial cds","D87438_at"
"355","713","KIAA0253 gene, partial cds","D87442_at"
"356","716","KIAA0256 gene","D87445_at"
"357","717","KIAA0257 gene, partial cds","D87446_at"
"358","718","KIAA0258 gene","D87447_at"
"359","719","KIAA0259 gene, partial cds","D87448_at"
"360","721","KIAA0261 gene, partial cds","D87450_at"
"361","722","KIAA0262 gene","D87451_at"
"362","723","KIAA0263 gene","D87452_at"
"363","724","KIAA0264 gene, partial cds","D87453_at"
"364","726","KIAA0266 gene","D87455_at"
"365","729","KIAA0269 gene","D87459_at"
"366","730","KIAA0270 gene, partial cds","D87460_at"
"367","732","KIAA0272 gene, partial cds","D87462_at"
"368","734","KIAA0274 gene","D87464_at"
"369","735","KIAA0275 gene","D87465_at"
"370","736","KIAA0276 gene, partial cds","D87466_at"
"371","739","KIAA0279 gene, partial cds","D87469_at"
"372","741","Heat shock transcription factor 4","D87673_at"
"373","744","KIAA0242 gene, partial cds","D87684_at"
"374","750","GB DEF = Alpha(1,2)fucosyltransferase, 5'UTR partial sequence","D87937_at"
"375","751","RTP","D87953_at"
"376","753","CMP-sialic acid transporter","D87969_at"
"377","758","GB DEF = (lambda) DNA for immunoglobin light chain","D88270_at"
"378","760","CYSTATIN A","D88422_at"
"379","763","HGCMa","D88613_at"
"380","768","Neuroblastoma","D89016_at"
"381","770","Proton-ATPase-like protein","D89052_at"
"382","771","Src-like adapter protein mRNA","D89077_at"
"383","774","C-myc binding protein","D89667_at"
"384","778","PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1","D90084_at"
"385","779","PDHB Pyruvate dehydrogenase (lipoamide) beta","D90086_at"
"386","781","ATF4 CAMP-dependent transcription factor ATF-4 (CREB2)","D90209_at"
"387","782","TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD)","D90224_at"
"388","783","CGM7 Carcinoembryonic antigen gene family member 7","D90276_at"
"389","789","Lamin-Like Protein (Gb:M24732)","HG1078-HT1078_at"
"390","791","Ras-Related C3 Botulinum Toxin Substrate","HG1102-HT1102_at"
"391","794","Ras-Like Protein Tc4","HG1112-HT1112_at"
"392","798","Nucleoside Diphosphate Kinase Nm23-H2s","HG1153-HT1153_at"
"393","800","Collagen, Type Iv, Alpha 2, N-Terminus","HG1205-HT1205_at"
"394","804","Macmarcks","HG1612-HT1612_at"
"395","805","Protein Phosphatase 1, Alpha Catalytic Subunit","HG1614-HT1614_at"
"396","806","Elastase 1","HG1649-HT1652_at"
"397","813","Ornithine Aminotransferase-Like 3","HG1804-HT1829_at"
"398","815","Calmodulin Type I","HG1862-HT1897_at"
"399","816","Male Enhanced Antigen","HG1869-HT1904_at"
"400","817","Major Histocompatibility Complex, Dg","HG1872-HT1907_at"
"401","818","Ras-Like Protein Tc10","HG1879-HT1919_at"
"402","820","Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21","HG2036-HT2090_at"
"403","821","Arrestin, Beta 2","HG2059-HT2114_at"
"404","824","Protein Kinase Ht31, Camp-Dependent","HG2167-HT2237_at"
"405","830","Major Intrinsic Protein","HG2247-HT2332_at"
"406","832","Atpase, Ca2+ Transporting, Plasma Membrane 1, Alt. Splice 6","HG2264-HT2360_at"
"407","833","Rna Polymerase Ii, 14.5 Kda Subunit","HG2274-HT2370_at"
"408","834","Triosephosphate Isomerase","HG2279-HT2375_at"
"409","836","Calcitonin","HG2290-HT2386_at"
"410","839","Integrin, Beta 3 Subunit","HG2320-HT2416_at"
"411","840","Retinoic Acid Receptor, Gamma 2","HG2325-HT2421_at"
"412","842","Transcription Factor E2f-2","HG2415-HT2511_at"
"413","847","Guanine Nucleotide-Binding Protein G25k","HG2463-HT2559_at"
"414","848","Fmlp-Related Receptor I","HG2480-HT2576_at"
"415","851","Helix-Loop-Helix Protein Delta Max, Alt. Splice 1","HG2525-HT2621_at"
"416","857","Succinate Dehydrogenase, Flavoprotein Subunit","HG2602-HT2698_at"
"417","870","Tyrosine Kinase (Gb:Z25437)","HG2715-HT2811_at"
"418","872","Oncogene Tls/Chop, Fusion Activated","HG2724-HT2820_at"
"419","874","Calcyclin","HG2788-HT2896_at"
"420","876","Homeotic Protein Pl2","HG2810-HT2921_at"
"421","877","Ret Transforming Gene","HG2825-HT2949_at"
"422","878","Heat Shock Protein, 70 Kda (Gb:Y00371)","HG2855-HT2995_at"
"423","880","Ribosomal Protein L39 Homolog","HG2874-HT3018_at"
"424","882","Beta-Hexosaminidase, Alpha Polypeptide, Abnormal Splice Mutation","HG2992-HT5186_at"
"425","883","Adp-Ribosylation-Like Factor","HG3039-HT3200_at"
"426","885","Splicing Factor Sc35, Alt Splice Form 3","HG3088-HT3263_at"
"427","894","Transcription Factor Iia","HG3162-HT3339_at"
"428","895","Carcinoembryonic Antigen","HG3175-HT3352_at"
"429","897","Guanine Nucleotide-Binding Protein Hsr1","HG3227-HT3404_at"
"430","898","Protease Receptor-1, Effector Cell","HG3231-HT3408_at"
"431","903","Crystallin, Alpha A","HG3286-HT3463_at"
"432","909","Ubiquitin-Conjugating Enzyme Ubch5","HG3344-HT3521_at"
"433","911","Peroxisome Proliferator Activated Receptor (Gb:Z30972)","HG3355-HT3532_at"
"434","919","Zinc Finger Protein 20","HG3454-HT3647_at"
"435","921","Uncoupling Protein Ucp","HG3492-HT3686_at"
"436","922","Nuclear Factor Nf-Il6","HG3494-HT3688_at"
"437","923","Collagen, Type Ix, Alpha 1","HG3495-HT3689_at"
"438","926","Tropomyosin Tm30nm, Cytoskeletal","HG3514-HT3708_at"
